,Style,label,Fabric( Need Being Marke and Cut),Trims,material/trim,description,location,qty,Color way-1,Color way-2,Color way-3,Color way-4,Color way-5,Color way-6,Color way-7,Color way-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19WJ1_075F_BOM.csv,d,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, large internal goggle pocket",none,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB19WJ1_075F_BOM.csv,e,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, hood drawcord tunnel, wrist gaiter",none,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB19WJ1_075F_BOM.csv,f,1,0,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB19WJ1_075F_BOM.csv,g,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB19WJ1_075F_BOM.csv,h,1,0,other,clear pvc,pass pocket window opening at outside of powder skirt,none,clear,clear,clear,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19WJ1_075F_BOM.csv,i,1,0,insulation,80gm insulation,"main body, hood, sleeves",none,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19WJ1_075F_BOM.csv,j,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19WJ1_075F_BOM.csv,k,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19WJ1_075F_BOM.csv,aa,0,1,zipper,"ykk no.5 metalux vislon zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",(1)c.f.,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19WJ1_075F_BOM.csv,bb,0,1,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes down), (2) hand pockets,2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB19WJ1_075F_BOM.csv,cc,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", (2)vents,2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AB19WJ1_075F_BOM.csv,dd,0,1,zipper,"ykk no.5 nylon coil open end, hidden chain zipper, auto-lock slider da8lh",removable powder skirt,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB19WJ1_075F_BOM.csv,ee,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket ,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AB19WJ1_075F_BOM.csv,ff,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents, (1)napoleon pocket",6,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AB19WJ1_075F_BOM.csv,hh,0,1,velcro,hook; l: 3.8 .cm x h: 1.6cm,cuff adjustment tab,2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AB19WJ1_075F_BOM.csv,ii,0,1,velcro,loop; l: 8cm x h: 1.6cm,cuff adjustment at cuff,2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AB19WJ1_075F_BOM.csv,jj,0,1,velcro,hook and loop; w: 1.6 cm x h: 5cm,(4)storm flap,4,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AB19WJ1_075F_BOM.csv,kk,0,1,velcro,hook and loop,pass pocket at powder skirt,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AB19WJ1_075F_BOM.csv,ll,0,1,hand pulls,round barrel stopper - k-018 ," (2) hood, (2) waistband adjustment",2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AB19WJ1_075F_BOM.csv,mm,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB19WJ1_075F_BOM.csv,nn,0,1,webbing,flat webbing tape 2cm width,pass pocket pull tab,1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AB19WJ1_075F_BOM.csv,pp,0,1,hardware,"metal eyelets, 12mm  (incl. washers)",(4) at hood opening,4,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AB19WJ1_075F_BOM.csv,qq,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(1) snap tabs at inside bottom hem,  (2) at powder skirt",3,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AB19WJ1_075F_BOM.csv,ss,0,1,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)",(2) powder skirt,2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AB19WJ1_075F_BOM.csv,tt,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,"hood opening, (1) waist adjustment",2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AB19WJ1_075F_BOM.csv,uu,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AB19WJ1_075F_BOM.csv,vv,0,1,main label,tbd,"inside c.b. neck, see q/a for details",1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AB19WJ1_075F_BOM.csv,ww,0,1,size label,abwv_69v vietnam size label,sewn in and centered below abwv_109,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AB19WJ1_075F_BOM.csv,xx,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AB19WJ1_075F_BOM.csv,yy,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AB19WJ1_075F_BOM.csv,zz,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AB19WJ1_075F_BOM.csv,aaa,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AB19WJ1_075F_BOM.csv,bbb,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AB19WJ1_075F_BOM.csv,ccc,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AB19WJ1_075F_BOM.csv,ddd,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AB19WJ1_075F_BOM.csv,eee,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,AB19WJ1_075F_BOM.csv,fff,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB19WP3_056_BOM.csv,a,1,0,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),main body,none,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB19WP3_056_BOM.csv,b,1,0,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB19WP3_056_BOM.csv,c,1,0,other, velvety tricot - soto048-1 (supplied by solis),"at inside waistband, inside hand pockets at front panels only, inside fly",none,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19WP3_056_BOM.csv,d,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB19WP3_056_BOM.csv,aa,0,1,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",fly ,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB19WP3_056_BOM.csv,bb,0,1,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",back pockets,2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB19WP3_056_BOM.csv,cc,0,1,zipper pull,abzp_01 utility cord pulls,(2) pockets,2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB19WP3_056_BOM.csv,dd,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","bang snaps (2), cf closure(2)",4,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19WP3_056_BOM.csv,ee,0,1,hardware,12mm metal eyelet  (incl. washers),front waistband 5cm each side of center front (2),2,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19WP3_056_BOM.csv,ff,0,1,hardware,"abel_01 metal airblaster eyelet (incl. washers, supplied by wellsucceed)",front left belt loop,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19WP3_056_BOM.csv,gg,0,1,hardware,metal hook closure,at inside waistband,1,black oxidized,black oxidized,black oxidized,black oxidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19WP3_056_BOM.csv,hh,0,1,hardware,metal lace hooks,at inside lower leg gaiters,2,black oxidized,black oxidized,black oxidized,black oxidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19WP3_056_BOM.csv,ii,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB19WP3_056_BOM.csv,jj,0,1,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AB19WP3_056_BOM.csv,kk,0,1,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB19WP3_056_BOM.csv,ll,0,1,webbing,8 mm width webbing,key clip attachment  at wearer's right inside pocket,1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AB19WP3_056_BOM.csv,mm,0,1,main label,tbd,inside c.b. waist see q/a for detail,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AB19WP3_056_BOM.csv,nn,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AB19WP3_056_BOM.csv,oo,0,1,w/c label/content,satin with print (same as 12/13 label),"at inside side seam, 8 cm down from waistband seam",1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AB19WP3_056_BOM.csv,pp,0,1,flag label,ablt_01 logo flag label (airpill side),inside of right back pocket 3cm from top of pocket,1,black/white,black/white,black/white,black/white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AB19WP3_056_BOM.csv,qq,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AB19WP3_056_BOM.csv,rr,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AB19WP3_056_BOM.csv,ss,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB19WP3_056_BOM.csv,tt,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AB19WP3_056_BOM.csv,uu,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AB19WP3_056_BOM.csv,vv,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AB19WP3_056_BOM.csv,ww,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AB19WP3_056_BOM.csv,xx,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB17MP4_037_BOM.csv,a,1,0,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,main body,none,,khaki,kombu green,,,,,,,,,,,,,,,,,,,,,,vintage black,dinoflage,,,,,,,,,,,,,,,,,,,,
1,AB17MP4_037_BOM.csv,b,1,0,lining,210t-e terry emboss taffeta   (supplied by ecoya),"inside lining, lower leg gaiters",none,,black,black,,,,,,,,,,,,,,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,
2,AB17MP4_037_BOM.csv,c,1,0,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",none,,black,black,,,,,,,,,,,,,,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,
3,AB17MP4_037_BOM.csv,d,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,,black,black,,,,,,,,,,,,,,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,
4,AB17MP4_037_BOM.csv,aa,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,,khaki 886,duffel 237,,,,,,,,,,,,,,,,,,,,,,vintage black 580,duffel 237,,,,,,,,,,,,,,,,,,,,
5,AB17MP4_037_BOM.csv,bb,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",back pockets,2,,khaki 886,duffel 237,,,,,,,,,,,,,,,,,,,,,,vintage black 580,duffel 237,,,,,,,,,,,,,,,,,,,,
6,AB17MP4_037_BOM.csv,cc,0,1,zipper,"ykk no.3 nylon conceal zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",phone pocket,1,,khaki 886,duffel 237,,,,,,,,,,,,,,,,,,,,,,vintage black 580,duffel 237,,,,,,,,,,,,,,,,,,,,
7,AB17MP4_037_BOM.csv,dd,0,1,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),back pockets (2),2,,black,black,,,,,,,,,,,,,,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,
8,AB17MP4_037_BOM.csv,ee,0,1,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",at c.f. closure.,1,,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,,,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,
9,AB17MP4_037_BOM.csv,ff,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",bang snaps (2),2,,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,,,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,
10,AB17MP4_037_BOM.csv,gg,0,1,hardware,12mm metal eyelet  (incl. washers),"front waistband 10cm each side of center front (2), left belt loop (1)",3,,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,,,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,
11,AB17MP4_037_BOM.csv,hh,0,1,hardware,metal lace hook,2 pcs at bottom leg openings.  place at cf of each leg opening.,2,,black oxidized,black oxidized,,,,,,,,,,,,,,,,,,,,,,black oxidized,black oxidized,,,,,,,,,,,,,,,,,,,,
12,AB17MP4_037_BOM.csv,ii,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,,black,dark olive,,,,,,,,,,,,,,,,,,,,,,black,dark olive,,,,,,,,,,,,,,,,,,,,
13,AB17MP4_037_BOM.csv,jj,0,1,elastic,gripper elastic,at inside lower leg gators,2,,black,black,,,,,,,,,,,,,,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,
14,AB17MP4_037_BOM.csv,kk,0,1,main label,abwv_67 freedom main label,"inside c.b. waist, see q/a for detail",1,,gold/black,gold/black,,,,,,,,,,,,,,,,,,,,,,gold/black,gold/black,,,,,,,,,,,,,,,,,,,,
15,AB17MP4_037_BOM.csv,ll,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,,black/gold,black/gold,,,,,,,,,,,,,,,,,,,,,,black/gold,black/gold,,,,,,,,,,,,,,,,,,,,
16,AB17MP4_037_BOM.csv,mm,0,1,w/c label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,,black,black,,,,,,,,,,,,,,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,
17,AB17MP4_037_BOM.csv,nn,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,,black/gold,black/gold,,,,,,,,,,,,,,,,,,,,,,black/gold,black/gold,,,,,,,,,,,,,,,,,,,,
18,AB17MP4_037_BOM.csv,oo,0,1,branding,abpa_77 freedom seam label,"hammer pocket, see placement page for detail",1,,black/oxblood,brown/ dark brown,,,,,,,,,,,,,,,,,,,,,,black/oxblood,brown/ dark brown,,,,,,,,,,,,,,,,,,,,
19,AB17MP4_037_BOM.csv,qq,0,1,hangtag,tbd,tbd,1,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,,,,,,,,,,,,,,,,,,,,
20,AB17MP4_037_BOM.csv,rr,0,1,hangtag,tbd,tbd,1,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,,,,,,,,,,,,,,,,,,,,
21,AB17MP4_037_BOM.csv,ss,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,,black,black,,,,,,,,,,,,,,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,
22,AB17MP4_037_BOM.csv,tt,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,,white,white,,,,,,,,,,,,,,,,,,,,,,white,white,,,,,,,,,,,,,,,,,,,,
23,AB17MP4_037_BOM.csv,uu,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,,white,white,,,,,,,,,,,,,,,,,,,,,,white,white,,,,,,,,,,,,,,,,,,,,
0,AB18MJ2_081_BOM.csv,a,1,0,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, sleeves, collar, pockets",none,black,khaki,kombu green,dark navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB18MJ2_081_BOM.csv,b,1,0,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),hood,none,camel,black,black,oxblood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB18MJ2_081_BOM.csv,c,1,0,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB18MJ2_081_BOM.csv,d,1,0,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB18MJ2_081_BOM.csv,e,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB18MJ2_081_BOM.csv,f,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators",none,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB18MJ2_081_BOM.csv,g,0,1,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB18MJ2_081_BOM.csv,h,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB18MJ2_081_BOM.csv,j,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB18MJ2_081_BOM.csv,k,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB18MJ2_081_BOM.csv,aa,0,1,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",c.f.,1,camel 161,black,black,oxblood 097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB18MJ2_081_BOM.csv,bb,0,1,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,camel 161,black,black,oxblood 097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB18MJ2_081_BOM.csv,cc,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,camel 161,black,black,oxblood 097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB18MJ2_081_BOM.csv,dd,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,camel 161,black,black,oxblood 097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AB18MJ2_081_BOM.csv,ee,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB18MJ2_081_BOM.csv,ff,0,1,stoppers,round barrel stopper - k-018 ,(2) hood,2,black,dark olive,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AB18MJ2_081_BOM.csv,gg,0,1,stoppers,k343-2n push stoppers,(2) bottom hem,2,black,dark olive,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AB18MJ2_081_BOM.csv,hh,0,1,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,black,dark olive,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AB18MJ2_081_BOM.csv,ii,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AB18MJ2_081_BOM.csv,jj,0,1,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AB18MJ2_081_BOM.csv,kk,0,1,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AB18MJ2_081_BOM.csv,ll,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6) c.f., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",11,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AB18MJ2_081_BOM.csv,mm,0,1,hardware,male snap only (incl. washers),(2) powder skirt (2) cuffs,4,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB18MJ2_081_BOM.csv,nn,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,dark olive,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AB18MJ2_081_BOM.csv,oo,0,1,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,black,dark olive,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
