,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
1, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
2, #3 coil zipper,non ykk / 1-way non locking dadr4 l-type drop,leg pocket vertical ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
3, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
4,additional zipper pulls,supplier/ reference number,location,amount,black,gunmetal,ink,rust,soil
5,branded trims,supplier/ reference number,location,amount,black,gunmetal,ink,rust,soil
6,"l1-2018-trim-021
l1 donut post shank
black alloy
al023",luks,front waist band,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
7,"l1-2018-trim-019
l1 10mm denim rivet
black alloy
al023",luks,right hand pocket (2) right hand pocket top (1) ,3,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
8,"l1-2018-trim-020
l1 10mm square rivet
black alloy
al023",luks,left hand pocket bottom edge,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
9,"l1-2018-trim-023
l1 faux leather denim patch
debossed 1mm and painted gold
black",please source,back right waist band,1,"l1-2018-trim-023
l1 faux leather denim patch
debossed 1mm and painted gold
black","l1-2018-trim-023
l1 faux leather denim patch
debossed 1mm and painted gold
black","l1-2018-trim-023
l1 faux leather denim patch
debossed 1mm and painted gold
black","l1-2018-trim-023
l1 faux leather denim patch
debossed 1mm and painted gold
black","l1-2018-trim-023
l1 faux leather denim patch
debossed 1mm and painted gold
black"
10,"l1-2018-trim-027
l1 faux leather patch
black 
",please source,back left pocket bag,1,"l1-2018-trim-027
l1 faux leather patch
black 
","l1-2018-trim-027
l1 faux leather patch
black 
","l1-2018-trim-027
l1 faux leather patch
black 
","l1-2018-trim-027
l1 faux leather patch
black 
","l1-2018-trim-027
l1 faux leather patch
black 
"
11,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell,match to shell
12,trims,supplier/ reference number,location,amount,black,gunmetal,ink,rust,soil
13,keyclip,as last year production,right leg pocket,1,black,black,black,black,black
14,notions,supplier/ reference number,location,amount,black,gunmetal,ink,rust,soil
15,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,black
16,"3/8"" waxed shoe lace with clear plastic tips",as last year production,waist band,1,black with wax + clear plastic tips,black with wax + clear plastic tips,black with wax + clear plastic tips,black with wax + clear plastic tips,black with wax + clear plastic tips
17,velcro,supplier/ reference number,location,amount,black,gunmetal,ink,rust,soil
18,thread,spi,supplier/ ref number,amount,black,gunmetal,ink,rust,soil
19,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),Feb-30,regular thread,matching,matching,matching,matching,matching
20,seams,10-12 spi,Feb-30,regular thread,matching,matching,matching,matching,matching
21,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,matching
22,bartacks,none,100/2,regular thread,matching,matching,matching,matching,matching
23,labels ,supplier/ reference number,location,amount,black,gunmetal,ink,rust,soil
24,10k/10k critically taped,soluna/ main label,inner front right,1,10k/10k critically taped,none,none,none,none
25,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none,none
26,hang tags,supplier/ reference number,location,amount,black,gunmetal,ink,rust,soil
27,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none,none
28,pant skinny fit hang tag,soluna/ pant fit hang tag,front left belt loop,1,pant skinny fit hang tag,none,none,none,none
29,care and content labels,supplier/ reference number,location,amount,black,gunmetal,ink,rust,soil
30,address label,factory sourced,lining left side seam,1,address label,none,none,none,none
31,content label,factory sourced,lining left side seam,1,content label,none,none,none,none
32,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none
