MATERIAL_ID,0,1,2,3,4,5,6,7,8
3,,,Insulation:,"60gm at main body, hood and sleeves",,Collection: Freedom,,,
10,,,,,FABRICS & LININGS,,,,
11,A,Shell Fabric,SOTA074-2L1-Y 100% Polyester 10k/8k +2-layer + breathable coating + DWR (supplied by Solis),"Main body, sleeves. Hood",,BLACK,DUFFEL,RUST,BUTTER
12,B,Lining,210T-E EMB07 Terry Taffeta emboss (Supplied by ECOYA),"powder skirt, pocket bag, hood lining, sleeve lining, fornt and back body BELOW powder skirt ONLY",,BLACK,BLACK,BLACK,BLACK
13,C,Other , Velvety Tricot - SOTO048-P (supplied by Solis),"Inside lining, Comfort chin guard, inner front pocket bag panel, front and back body panel ABOVE powder skirt ONLY",,MODERN ATHLETE,MODERN ATHLETE,MODERN ATHLETE,MODERN ATHLETE
14,D,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, internal goggle pocket",,BLACK,BLACK,BLACK,BLACK
15,E,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),powder skirt,,BLACK,BLACK,BLACK,BLACK
16,F,Other,"1x1 rib knit,good quality Arcylic/Spandex",Cuffs,,BLACK,BLACK,BLACK,BLACK
17,G,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK
18,H,Other,60gm Insulation,"Main body, hood and sleeves",,WHITE,WHITE,WHITE,WHITE
19,I,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK
20,J,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE
21,K,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE
23,,,,,ZIPPERS,,,,
24,AA,Zipper,"YKK No.5 2-way coil zipper.  Auto-lock slider DA8LH,   (Right hand pull left hand insert)",CF,1,BLACK,DUFFEL 237,RUST 236,BUTTER 510
25,BB,Zipper,YKK  No.5 nylon coil zippers.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN),( 2) hand pockets,2,BLACK,DUFFEL 237,RUST 236,BUTTER 510
26,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,BLACK,DUFFEL 237,RUST 236,BUTTER 510
27,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zipper closes UP)",1 internal pocket at w.'s inside LEFT,1,BLACK,DUFFEL 237,RUST 236,BUTTER 510
28,EE,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"CF, (2) hand pockets, (1) internal pocket, (2) vents",6,BLACK,BLACK,BLACK,BLACK
31,FF,Stoppers,Barrel stopper K-018,2) hood,2,BLACK,DARK OLIVE,BLACK,DARK OLIVE
32,GG,Webbing,"Flat Webbing Tape, 8mm", key clip attachment at inside wearer's right pocket,1,BLACK,BLACK,BLACK,BLACK
33,HH,Hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening, ",4,PEWTER BI-10,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,PEWTER BI-10
34,II,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)"," (6)C.F., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) Cuff tab, (1) back vent",14,PEWTER BI-10,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,PEWTER BI-10
35,JJ,Hardware,Male snap only (incl. washers),"(2) powder skirt, (2)cuffs",4,PEWTER BI-10,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,PEWTER BI-10
36,KK,Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,Hood,1,BLACK,DARK OLIVE,BLACK,DARK OLIVE
37,LL,Elastic , 2.5 cm flat elastic ,(2) Cuffs,2,BLACK,BLACK,BLACK,BLACK
38,MM,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK
39,NN,Main Label,ABWV_67 Freedom Main Label,"inside c.b. neck, centered below ABWV_110",1,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK
40,OO,Size Label,ABWV_69V Vietnam Size Label,sewn in and centered below main label,1,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK
41,PP,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK
42,QQ,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK
43,RR,Branding,ABPA_105B Corey Patch,"LEFT chest, see palcement page for detail",1,BONE/BLACK/ BLACK VELCRO,BONE/BLACK/ OLIVE VELCRO,BONE/BLACK/ RUST VELCRO,BONE/BLACK/ GOLD VELCRO
44,SS,Branding,ABWV_110 Modern Athlete Woven Label,Centered 3cm below ABWV_67,1,BLACK/ OFF WHITE/ OLIVE,BLACK/ OFF WHITE/ OLIVE,BLACK/ OFF WHITE/ OLIVE,BLACK/ OFF WHITE/ OLIVE
47,TT,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD
48,UU,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD
49,VV,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR
50,WW,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD
51,XX,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD
56,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,
58,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,
