,style,description ,ref,Fabric,Trims,Supplier,location,Qty,Color way-1,Color way-2,Color way-3,Color way-4,Color way-5
0,lfv11301,"shell 1 colors 1
dt-1693",nan,1,0,drytex,garment,nan,insigna blue,vibrant red,noir,nan,nan
1,lfv11301,"shell 1 colors 2
dt-1693",nan,1,0,drytex,inside collar + bottom hem,nan,insigna blue,insigna blue,noir,nan,nan
2,lfv11301,mesh,nan,1,0,local,body,nan,black,black,black,nan,nan
3,lfv11301,nylon 210t,nan,1,0,local,sleeves lining + hood + pocket bag,nan,black,black,black,nan,nan
4,lfv11301,critical seam tape,nan,1,0,local,hood / collar / shoulder / armhole,nan,clear,clear,clear,nan,nan
5,lfv11301,"zipper vislon # 5 - 1way - separable- autolock
sd51ma.rt
",nan,0,1,"max
zipper",front zip,1,"vibrant red / insigna blue
tape: 820
teeth: 196
slider: 196","insigna blue / vibrant red
tape: 196
teeth: 820
slider: 820","grey / black
tape: 389
teeth: 580
slider: 580",nan,nan
6,lfv11301,"zipper reverse # 5 - 1way - non separable - non lock
sn52max
",nan,0,1,"max
zipper","hands pockets under flap (2)
chest pocket (1)",3,196,820,580,nan,nan
7,lfv11301,zipper cord 2 tone  16cm,zp070-e,0,1,unitex,"front opening (1)
front pockets (2)
chest pocket (1)",4,vibrant,navy,carbone,nan,nan
8,lfv11301,"2,5mm elastic cord ",nan,0,1,local,"bottom adjustment  (1)
hood adjustment (1)",2,black,black,black,nan,nan
9,lfv11301,"new mmg cord stopper 
20mm+ slit",eis15u-xmstp01,0,1,unitex,"bottom adjustment  (1)
hood adjustment (2)",3,black,black,black,nan,nan
10,lfv11301,10mm metal eyelet,nan,0,1,local,"bottom adjustment  (2)
hood adjustment (4)",6,antic silver,antic silver,antic silver,nan,nan
11,lfv11301,plastic pearl,cp-a1,0,1,unitex,hood adjustment (2),2,black,black,black,nan,nan
12,lfv11301,10mm nylon webbing ,nan,0,1,local,"bottom adjustment  (2)
hood adjustment (2)",4,black,black,black,nan,nan
13,lfv11301,"velcro female (rounded corner)
12x60mm",nan,0,1,local / pahio,"hood (3)
collar (3)",6,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan
14,lfv11301,"velcro male (rounded corner)
12x60mm",nan,0,1,local / pahio,collar flap (3),3,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan
15,lfv11301,"velcro female ( rounded corner)
20x80mm",nan,0,1,local / pahio,"back hood adjustment
on  garment  ",1,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan
16,lfv11301,"velcro male ( rounded corner)
20x60mm",nan,0,1,local / pahio,"back hood adjustment 
on  flap ",1,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan
17,lfv11301,"velcro female ( rounded corner)
20x100mm",nan,0,1,local / pahio," cuff adjustment
on  garment  ",2,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan
18,lfv11301,"velcro male ( rounded corner)
20x60mm",nan,0,1,local / pahio," cuff adjustment
on  flap ",2,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan
19,lfv11301,embroidery  lafuma 72 mm,nan,0,1,ming shang,right front / top,1,"vibrant red
10007","insigna blue
40002","grey
 f488",nan,nan
20,lfv11301,embroidery lafuma feuille 20 mm,nan,0,1,ming shang,left sleeve / top,1,"vibrant red
10007","insigna blue
40002","grey
 f488",nan,nan
21,lfv11301, climactive woven fly,nan,0,1,triple star,bottom left back,1,"standard
black","standard
black","standard
black",nan,nan
22,lfv11301,main label medium size,lw034-e,0,1,sml,neckline / centered ,1,orange ,orange ,orange ,nan,nan
23,lfv11301,"size woven label mmg 
men alpha/top",lws18-01,0,1,sml,neckline / centered ,1,standard,standard,standard,nan,nan
24,lfv11301,care label & p.o. label,lc011-e,0,1,local,left side seam ,1,white satin ,white satin ,white satin ,nan,nan
25,lfv11301,hang tag low impact,ht394299-e,0,1,triple star,on top of corporate ht,1,standard,standard,standard,nan,nan
26,lfv11301,hangtag lafuma corporate,"small
ht-394082-e",0,1,triple star,left side pocket,1,standard,standard,standard,nan,nan
27,lfv11301,hang tag climactive,"small
ht394146-e",0,1,triple star,refer artwork for position ,1,standard,standard,standard,nan,nan
28,lfv11301,hang tag pfc free,ht394145-e,0,1,triple star,on back of corporate ht,1,standard,standard,standard,nan,nan
29,lfv11301,gencode sticker,nan,0,1,local,nan,2,nan,nan,nan,nan,nan
30,lfv11301,"silica gel dmf u free
5gr",nan,0,1,local,nan,1,nan,nan,nan,nan,nan
31,lfv11301,polybag,nan,0,1,local,nan,1,nan,nan,nan,nan,nan
32,lfv11412,"shell 1 
06302 5k/5k",nan,1,0,libolon,garment,nan,heather grey,ink/noir,burgundy laf,nan,nan
33,lfv11412,mesh,nan,1,0,local,body,nan,grey,black,black,nan,nan
34,lfv11412,taffetas nylon 210t,nan,1,0,local,sleeves lining + hood + pocket bag + front panel lining,nan,grey,black,black,nan,nan
35,lfv11412,"brush tricot 
ref: am1378 asia fit",nan,1,0,local,chin guard,nan,grey,black,black,nan,nan
36,lfv11412,full seam tape,nan,1,0,local,full body,nan,clear,clear,clear,nan,nan
37,lfv11412,non woven,nan,1,0,local,flaps + embroideries backside,nan,white,white,white,nan,nan
38,lfv11412,"shell 2
pr20 nylon fd
",nan,1,0,local,inner jkt - ,nan,black,"azur blue
19-4050 tcx",black,nan,nan
39,lfv11412,taffetas lining 210 t ,nan,1,0,local,"sleeves
pockets lining ",nan,grey,black,black,nan,nan
40,lfv11412,"brush tricot 
ref: am1378 asia fit",nan,1,0,local,body lining,nan,grey,black,black,nan,nan
