,0,1,2,3,4,5,6
8,zippers,supplier/ reference number,location,amount,black,walnut,dark slate
9, #5 metal zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets horizontal,2,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black
13,additional zipper pulls,supplier/ reference number,location,amount,black,walnut,dark slate
14,"l1-2018-trim-017
l1 zipper pull",ykk,center front,top and bottom pull = 2,ykk x antique copper,ykk x antique copper,ykk x antique copper
15, 11nt-045 / self fabric pull ,factory made,chest pocket vertical,1,match to shell,match to shell,match to shell
16, 11nt-045 / self fabric pull ,factory made,hand pockets horizontal,1 per side = 2,match to shell,match to shell,match to shell
18,branded trims,supplier/ reference number,location,amount,black,walnut,dark slate
19,"l1-2018-trim-006
large brown faux leather hem wrap",please source,front left hand pocket,1,brown faux leather,brown faux leather,brown faux leather
20,"l1-2018-trim-001
woven label:",please source,front right hand pocket bag,1,woven label,woven label,woven label
21,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",please source,left sleeve hem,1,match to shell,match to shell,match to shell
22,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,back right,1,match to shell,match to shell,match to shell
25,trims,supplier/ reference number,location,amount,black,walnut,dark slate
28,notions,supplier/ reference number,location,amount,black,walnut,dark slate
29,"grosgrain: 3/4"" wide  (fold in 1/2, 5/8"" finished tab length)",soluna,pull tab on velcro lining pocket ,1,black,black,black
32,velcro,supplier/ reference number,location,amount,black,walnut,dark slate
33,"1/2"" x 5 1/2"" (1/2"" shorter that pocket length velcro with rounded corners",paiho / hooketn7 / loop#1057,lining pocket,1,black,black,black
36,thread,spi,supplier/ ref number,amount,black,walnut,dark slate
37,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell
38,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell
39,bartacks,none,100/2,none,match to shell,match to shell,match to shell
41,labels ,supplier/ reference number,location,amount,black,walnut,dark slate
42,5k/5k critically taped,soluna/ main label,center back below neck seam,1,5k/5k critically taped,5k/5k critically taped,5k/5k critically taped
43,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl"
45,hang tags,supplier/ reference number,location,amount,black,walnut,dark slate
46,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag
50,care and content labels,supplier/ reference number,location,amount,black,walnut,dark slate
51,address label,factory sourced,lining left side seam,1,address label,address label,address label
52,content label,factory sourced,lining left side seam,1,content label,content label,content label
53,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label
