,0,1,2,3,4
8,zippers,description,slider ref number,details,colorways
9,center front,#5 vislon,za snap on (ykk),1-way (locking),zipper slider: h3 psudo anti silver // tape & teeth: black
10,chest left,#5 metal,dadhr diecast wire (non ykk) zip up,1-way (locking),zipper slider & teeth: h3 psudo anti silver // tape: dtm
11,hand pockets,velcro to close,none,none,none
12,pit zips,#5 coil,dadhr diecast wire (non ykk) zip up,1-way (locking),zipper slider: h3 psudo anti silver // tape & teeth: black
13,inside pocket,#5 coil,dadhr diecast wire (non ykk) zip up,1-way (locking),zipper slider: h3 psudo anti silver // tape & teeth: black
15,zipper pulls,description,none,amount,colorways
16,cf,l1-2016-trim-009 order from luks,top pull only,1,psudo anti silver 
17,pit zips,11nt-045 self fabric pull,none,1 per = 2,"body ""a"" "
18,inside pocket,11nt-045 self fabric pull,none,1,"body ""a"" "
20,cord locks,description,ref number,amount,colorways
21,hem,knk,sp-177,1 per side = 2,black
22,hem cord tips,knk,cs-074,1 per side = 2,black
24,shockcord,description,none,none,colorways
25,hem,3mm stretch shockcord,none,none,black
27,drawcord,description,none,amount,colorways
28,hood,wide cord as on sample,none,none,12-0105 tpx off white
30,elastic,description,none,amount,colorways
31,lining facing cable guide,"1/4"" flat",none,none,black
32,goggle pocket,elastine binding,none,none,black
33,pow ,22mm flat gripper elastic,none,none,black
35,snaps,description,none,amount,colorways
36,cf pow closure,24l ,metal,left side = 2 female // right side = 4 male,black cap/ psudo anti silver base
37,pow skirt gripper elastic,24l ,metal,3 female,black cap/ psudo anti silver base
39,eyelets,description,ref number,amount,colorways
40,hood ,large metal eyelet,as sample,1 per side = 2,psudo anti silver 
41,hem,small eyelet,as sample,2 per side =4,psudo anti silver
43,webbing,description,ref number,amount,colorways
44,hem attach cord locks,"1/4"" flat",stock,none,black
45,pow skirt gripper elastic reinforce snaps,"1"" tab",stock,none,black
46,keyclip,"1/4"" flat, 1 1/2"" loop",stock,1,black
48,velcro,description,ref number,amount,colorways
49,chin,"1/2"" x 1 1/2"" l",l1 quality as sample,1,matching
50,cf,"1/2"" x 3"" l",none,3,matching
51,hand pockets,"1/2"" x 1 3/4"" l",none,2,matching
52,cuff body,"1"" x 3 3/4""l",none,1 per sleeve = 2,matching
53,cuff tab,"1"" x 2 1/2""l",none,1 per sleeve = 2,matching
55,thread,spi,ref number,amount,colorways
56,seams,none,#604,regular thread,matching
57,topstitch,none,#606,topstitch thread,matching
58,bartacks,none,none,regular thread,matching
60,l1 branded trims,description,ref number,amount,colorways
61,"chin and hem, pocket flaps",working snap,l1-2016-trim-003 order from luks,5,psudo anti silver
62,cf,cap only snap,l1-2016-trim-003 order from luks,2,psudo anti silver
63,hood,rectangle cord lock,l1-2016-trim-017 order from luks,2,brown
64,left chest pocket,faux leather hem wrap,l1-2016-trim-013 order from luks,1,brown
65,right hand pocket,"
l1 faux leather patch",l1-2017-trim-101 order from luks,1,brown
66,front left sleeve,l1 embroidery small,l1-2016-026,1,ink
67,back right shoulder,l1 embroidery large,l1-2016-027,1,ink
68,keyclip right hand pocket,non logo stock,hk-001 order from knk,1,black
69,powder skirt woven label,cut off label,order from luks,1,cut off label
71,l1 marketing,knk,sp-177,1 per side = 2,colorways
72,shell left underarm,hangtag,none,1,none
73,lining back neck,size label,none,1,none
74,lining left side seam,address label,none,1,none
75,lining left side seam,content label,none,1,none
76,lining left side seam,washing label,none,1,none
