,0,1,2,3,4,5,6,7
8,zippers,supplier/ reference number,location,amount,black,gunmetal,ink,soil
9, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
10, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hand pockets,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
11, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,back pockets,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
12, #5 coil zipper,non ykk / 2-way non locking / dadhr diecast wire (zip down to close),balls out venting,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
13, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
15,additional zipper pulls,supplier/ reference number,location,amount,black,gunmetal,ink,soil
16, 11nt-045 / self fabric pull ,factory made,hand pocket zippers,1 per side = 2,match to shell,match to shell,match to shell,match to shell
17, 11nt-045 / self fabric pull ,factory made,back pockets,1 per side = 2,match to shell,match to shell,match to shell,match to shell
18, 11nt-045 / self fabric pull ,factory made,balls out venting,1 per side = 2,match to shell,match to shell,match to shell,match to shell
20,branded trims,supplier/ reference number,location,amount,black,gunmetal,ink,soil
21,"l1-2018-trim-022
l1 19mm shank
black alloy
al023",luks,front waist band,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
22,"l1-2018-trim-007
large black faux leather hem wrap / artwork debossed 1mm and then painted gold. 3.8 cm x 2 cm",please source,back right hand pocket welt,1,"l1-2018-trim-007
large black faux leather hem wrap / artwork debossed 1mm and then painted gold. 3.8 cm x 2 cm","l1-2018-trim-007
large black faux leather hem wrap / artwork debossed 1mm and then painted gold. 3.8 cm x 2 cm","l1-2018-trim-007
large black faux leather hem wrap / artwork debossed 1mm and then painted gold. 3.8 cm x 2 cm","l1-2018-trim-007
large black faux leather hem wrap / artwork debossed 1mm and then painted gold. 3.8 cm x 2 cm"
23,"l1-2018-trim-027
l1 faux leather patch
black ",please source,back left knee,1,"l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black "
24,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell
26,trims,supplier/ reference number,location,amount,black,gunmetal,ink,soil
27,15mm metal snap,luk's / 404,back gaiter/ pant hem,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
28,boot hook,suppler,front gaiter,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
29,keyclip,as last year production,right leg pocket,1,black,black,black,black
31,notions,supplier/ reference number,location,amount,black,gunmetal,ink,soil
32,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell
33,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell
34,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black
35,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,black,black,black
36,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black
39,velcro,supplier/ reference number,location,amount,black,gunmetal,ink,soil
43,thread,spi,supplier/ ref number,amount,black,gunmetal,ink,soil
44,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),Feb-30,regular thread,matching,matching,matching,matching
45,seams,10-12 spi,Feb-30,regular thread,matching,matching,matching,matching
46,topstitch,8-10 spi,Feb-30,regular thread,matching,matching,matching,matching
47,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching
48,bartacks,none,100/2,regular thread,matching,matching,matching,matching
50,labels ,supplier/ reference number,location,amount,black,gunmetal,ink,soil
51,10k/10k critically taped,soluna/ main label,inner front right,1,10k/10k critically taped,none,none,none
52,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none
54,hang tags,supplier/ reference number,location,amount,black,gunmetal,ink,soil
55,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none
56,pant slim fit hang tag,soluna/ pant fit hang tag,left side hand pocket zipper,1,pant slim fit hang tag,none,none,none
58,care and content labels,supplier/ reference number,location,amount,black,gunmetal,ink,soil
59,address label,factory sourced,lining left side seam,1,none,none,none,none
60,content label,factory sourced,lining left side seam,1,none,none,none,none
61,washing label,factory sourced,lining left side seam,1,none,none,none,none
