index,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,fabric,trims,zipper,outer,inner
94,fit-ht-gen,general fit insert,,,,insert,,,,,,,,,daeyong,,1,0.11,0.11,scott usa,m defined plus jkt,0,1,0,1,0
95,fit-ht-athl,athletic fit hangtag,,,,top of hang tag,,,,,,,,,daeyong,,1,0.055,0.055,scott usa,m defined plus jkt,0,1,0,1,0
96,duro-ht-uv-2,duroshade hangtag,,,,insert,,,,,,,,,daeyong,,1,0.1,0.1,scott usa,m defined plus jkt,0,1,0,1,0
97,dryo-ht-wr-2,dryozone dwr hangtag,,,,insert,,,,,,,,,daeyong,,1,0.1,0.1,scott usa,m defined plus jkt,0,1,0,1,0
98,#9068 powerdry,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar",,,,,marine blue,caviar black,nightfall blue,moroccan red,,,,,polartec,,,11.2,meter,scott usa,m defined polar jkt,1,0,0,1,0
99,sck-757s,shell fabric at chest pocket,,,,,marine blue,caviar black,nightfall blue,moroccan red,,,,,singtex,,,4.8,yard,scott usa,m defined polar jkt,1,0,0,1,0
100,l1025 sw,non woven interlining,,,,interior collar,stock white,stock white,stock white,stock white,,,,,r.m. interlinings ltd.,,,0.1,yard,scott usa,m defined polar jkt,1,0,0,1,0
101,cifol-39 dsbyg (h3),"#3 coil, open end, left insert, dsbyg slider ",,,,cf zipper,lunar blue,caviar black,nightfall blue,moroccan red,,,,,ykk,,1,,0,scott usa,m defined polar jkt,0,1,1,1,0
102,chc-36 dadr2a (e),"#3 invisible coil, closed end, dadr2a ",,,,chest pocket zipper,lunar blue,iron grey,nightfall blue,moroccan red,,,,,ykk,,1,,0,scott usa,m defined polar jkt,0,1,1,1,0
103,cfc-39 dsbyg (h3),"#3 coil, closed end, dsbyg slider ",,,,back pocket,lunar blue,iron grey,nightfall blue,moroccan red,,,,,ykk,,1,,0,scott usa,m defined polar jkt,0,1,1,1,0
104,"3/4"" foldable lycra    ",binding,,,,interior cf zipper tape edge finish,lunar blue,caviar black,nightfall blue,moroccan red,,,,,woosung,,,0.244,yard,scott usa,m defined polar jkt,0,1,0,1,0
105,ext-tape-10,reflective tape,,,,mp3 loop at cb neck seam,reflective silver,reflective silver,reflective silver,reflective silver,,,,,giant knitting,,,0.56,yard,scott usa,m defined polar jkt,0,1,0,1,0
106,coverstitch,4 needle coverstitching,,,,"seams at armhole, underarm, side seams, lower body horizontal seam",marine blue,caviar black,nightfall blue,moroccan red,,,,,ns coats,,,,0,scott usa,m defined polar jkt,0,1,0,1,0
107,tba,tba,,,,front left chest,lunar blue,iron grey,19-4010 eclipse blue,iron grey,,,,,tba,,1,,0,scott usa,m defined polar jkt,0,1,0,1,0
108,"can you test which type works best with the polartec fabric such as print, high density print etc?",tba,,,,right bicep,lunar blue,iron grey,19-4010 eclipse blue,iron grey,,,,,tba,,1,,0,scott usa,m defined polar jkt,0,1,0,1,0
109,phtw-15,polartec heat transfer,,,,right side near hem and side seam,white,white,white,white,,,,,polartec,,1,0,0,scott usa,m defined polar jkt,0,1,0,1,0
110,m-int-20,main interior label,,,,cb neckseam,,,,,,,,,daeyong,,1,0.108,0.108,scott usa,m defined polar jkt,0,1,0,1,0
111,8mm grosgrain locker loop,grosgrain,,,,locker loop,dark grey,dark grey,dark grey,dark grey,,,,,woosung,,,0.04,yard,scott usa,m defined polar jkt,0,1,0,1,0
112,ccl-152,care content labels,,,,interior left side seam,,,,,,,,,daeyong,,1,0.035,0.035,scott usa,m defined polar jkt,0,1,0,1,0
113,po label,po label- for bulk only!,,,,interior left side seam,,,,,,,,,daeyong ,,1,0.005,0.005,scott usa,m defined polar jkt,0,1,0,1,0
114,m-ht-lay,m's layering hangtag         ,,,,left side       ,,,,,,,,,daeyong,,1,0.22,0.22,scott usa,m defined polar jkt,0,1,0,1,0
115,hangtag chain,chain for hangtag,,,,left side       ,,,,,,,,,daeyong,,1,0.06,0.06,scott usa,m defined polar jkt,0,1,0,1,0
116,fit-ht-gen,general fit hang tag,,,,cf zipper slider,,,,,,,,,daeyong,,1,0.11,0.11,scott usa,m defined polar jkt,0,1,0,1,0
117,fit-ht-ath,athletic fit hangtag       ,,,,cf zipper slider,,,,,,,,,daeyong ,,1,0.055,0.055,scott usa,m defined polar jkt,0,1,0,1,0
118,ppg-15,polartec powergrid hangtag,,,,cf zipper slider          ,,,,,,,,,polartec,,1,0,0,scott usa,m defined polar jkt,0,1,0,1,0
119,porptec-15,polartec polygeine hangtag,,,,cf zipper slider          ,,,,,,,,,polartec,,1,0,0,scott usa,m defined polar jkt,0,1,0,1,0
120,meln135,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar,  rolled hem, rolled cuffs,",,,,,nightfall blue,marine blue,caviar black,royal red,,,,,premiere,,,5.16,yard,scott usa,m defined tech jkt,1,0,0,1,0
121,l1025 sw,non woven interlining,,,,collar,white,white,white,white,,,,,r.m. interlinings ltd.,,,0.1,yard,scott usa,m defined tech jkt,1,0,0,1,0
122,cifol-56 da8blh1 (e)           ,"#5 coil, open end, left insert, da8blh1 slider ",,,,cf zipper,nightfall blue,lunar blue,iron grey,moroccan red,,,,,ykk,,1,,0,scott usa,m defined tech jkt,0,1,1,1,0
123,cfc-36 dablh (e)         ,"#3 coil, closed end, dablh slider ",,,,chest pocket zipper,nightfall blue,marine blue,caviar black,moroccan red,,,,,ykk,,1,,0,scott usa,m defined tech jkt,0,1,1,1,0
124,zp-561/5    ,pop in puller- #5       ,,,,cf zipper,nightfall blue,lunar blue,caviar black,moroccan red,,,,,utx,,1,0.05,0.05,scott usa,m defined tech jkt,0,1,0,1,0
125,zp-562/3    ,pop in puller- #3        ,,,,chest pkt zipper,nightfall blue,lunar blue,caviar black,moroccan red,,,,,utx,,1,0.049,0.049,scott usa,m defined tech jkt,0,1,0,1,0
126,pca224,cordlock,,,,hem adjustment,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,,utx,,2,0.06,0.116,scott usa,m defined tech jkt,0,1,0,1,0
127,10mm grosgrain ribbon,webbing,,,,anchor for pca224 cordlock at bottom hem,dark grey,dark grey,dark grey,dark grey,,,,,woosung,,,0.05,yard,scott usa,m defined tech jkt,0,1,0,1,0
128,p481s001,rubber puller ,,,,hem adjustment      ,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,,utx,,2,0.02,0.04,scott usa,m defined tech jkt,0,1,0,1,0
129,1034213,custom braid 2.2mm,,,,bottom hem,nightfall blue,marine blue,caviar black,moroccan red,,,,,chun wo ho,,,0.109,yard,scott usa,m defined tech jkt,0,1,0,1,0
130,5mm eyelet,5mm logo eyelet,,,,hem drawcord exit      ,antique silver,antique silver,antique silver,antique silver,,,,,il jin  ,,4,0.03,0.12,scott usa,m defined tech jkt,0,1,0,1,0
131,"3/4"" foldable lycra",binding,,,,"cf zipper tape finish, windflap edge",nightfall blue,lunar blue,caviar black,moroccan red,,,,,woosung,,,0.244,yard,scott usa,m defined tech jkt,0,1,0,1,0
132,gramax thread,normal flatlock,,,,"seams at armhole, sleeves, side seams, chest pocket seam",nightfall blue,lunar blue,caviar black,moroccan red,,,,,coats,,,,0,scott usa,m defined tech jkt,0,1,0,1,0
133,sb-dp-804,direct print (matte quality),,,,right bicep,19-4010 eclipse blue,lunar blue,iron grey,moroccan red,,,,,taekwang,,1,,0,scott usa,m defined tech jkt,0,1,0,1,0
134,ats,ats (matte quality),,,,left chest pocket window,19-4010 eclipse blue,lunar blue,iron grey,19-1650 biking red,,,,,taekwang,,1,,0,scott usa,m defined tech jkt,0,1,0,1,0
135,m-size-20,m's main interior label           ,,,,cb neckseam      ,,,,,,,,,daeyong,,1,0.045,0.045,scott usa,m defined tech jkt,0,1,0,1,0
136,8mm grosgrain ribbon    ,grosgrain ribbon           ,,,,locker loop      ,dark grey,dark grey,dark grey,dark grey,,,,,woosung  ,,1,0,0,scott usa,m defined tech jkt,0,1,0,1,0
137,ccl-001,care content labels,,,,left side seam,,,,,,,,,daeyong,,1,0.035,0.035,scott usa,m defined tech jkt,0,1,0,1,0
138,po label,po label- for bulk only!,,,,left side seam,white,white,white,white,,,,,daeyong ,,1,0.005,0.005,scott usa,m defined tech jkt,0,1,0,1,0
139,m-ht-lay,m's layering hangtag         ,,,,left side       ,,,,,,,,,daeyong,,1,0.22,0.22,scott usa,m defined tech jkt,0,1,0,1,0
140,hangtag chain,chain for hangtag,,,,left side       ,,,,,,,,,daeyong,,1,0.06,0.06,scott usa,m defined tech jkt,0,1,0,1,0
