,0,1,2,3,4,5,6,7,8,9
0,l1 mens pant,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-210-18,none,none,date created:,none,2017-03-13 00:00:00,none,none
3,style name:,none,thunder,none,none,date revised:,none,2017-04-04 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1-206-16 thunder paper pattern,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,skinny fit,none,none
6,insulation:,none,non insulated,none,none,target fob:,none,32,none,none
8,zippers,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
9, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none
10, #3 coil zipper,non ykk / 1-way non locking dadr4 l-type drop,leg pocket vertical ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none
11, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,back right pocket,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none
12, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none
14,additional zipper pulls,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
15, 11nt-045 / self fabric pull ,factory made,back right pocket,1,match to shell,match to shell,match to shell,match to shell,match to shell,none
17,branded trims,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
18,"l1-2018-trim-022
l1 19mm shank
black alloy
al023",luks,front waist band,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
19,"l1-2018-trim-020
l1 10mm square rivet
black alloy
al023",luks,front left hand pocket bottom edge,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
20,"l1-2018-trim-011
half deboss snap 
black alloy
al023",luks,back left pocket flap,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
21,"l1-2018-trim-007
large black faux leather hem wrap / artwork debossed 1mm and then painted gold. 3.8 cm x 2 cm",please source,back right pocket welt,1,l1-2018-trim-007 black,l1-2018-trim-007 black,l1-2018-trim-007 black,l1-2018-trim-007 black,l1-2018-trim-007 black,none
22,"l1-2018-trim-027
l1 faux leather patch
black ",please source,back left knee,1,"l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ",none
23,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell,match to shell,none
25,trims,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
26,15mm metal snap,luk's / 404,back gaiter/ pant hem,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
27,boot hook,suppler,front gaiter,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
28,keyclip,as last year production,right leg pocket,1,black,black,black,black,black,none
30,notions,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
31,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
32,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
33,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,black,none
34,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,none,none,none,none,none
35,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black,black,none
36,"3/8"" waxed shoe lace with clear plastic tips",as last year production,waist band,1,black with wax + cleaer plastic tips,black with wax + cleaer plastic tips,black with wax + cleaer plastic tips,black with wax + cleaer plastic tips,black with wax + cleaer plastic tips,none
38,velcro,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
41,thread,spi,supplier/ ref number,amount,black,walnut,military,dark slate,gunmetal,0
42,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),30/2,regular thread,matching,matching,matching,matching,matching,none
43,seams,10-12 spi,30/2,regular thread,matching,matching,matching,matching,matching,none
44,topstitch,8-10 spi,30/2,regular thread,matching,matching,matching,matching,matching,none
45,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,matching,none
46,bartacks,none,100/2,regular thread,matching,matching,matching,matching,matching,none
48,labels ,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
49,10k/10k critically taped,soluna/ main label,inner front right,1,10k/10k critically taped,none,none,none,none,none
50,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none,none,none
52,hang tags,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
53,mens jacket hang tag,soluna/ mens jacket hang tag,front left belt loop,1,mens jacket hang tag,none,none,none,none,none
54,pant skinny fit hang tag,soluna/ pant fit hang tag,front left belt loop,1,pant skinny fit hang tag,none,none,none,none,none
56,care and content labels,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal,0
57,address label,factory sourced,lining left side seam,1,address label,none,none,none,none,none
58,content label,factory sourced,lining left side seam,1,content label,none,none,none,none,none
59,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none,none
