,description,ref,location,amount,colorway/4,colorway/5
1, #5 vislon zipper,ykk / 1-way dadhr die cast wire semi auto lock,center front,1,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
2, #5 vislon zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
3, #5 vislon zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
4,additional zipper pulls,supplier/ reference number,location,amount,gunmetal / bombay,black / oxblood
5,shock cord zipper pull with silicon dipped ends,chun wo ho / cw17-063 black shockcord with rubber dipper ends - please source,"center front zipper (1), chest pocket zipper (1) hand pocket zippers (2)",4,black cord with bombay 18-1250 tcx rubber dip,black cord with oxblood 19-1725 tcx rubber dip
6,branded trims,supplier/ reference number,location,amount,gunmetal / bombay,black / oxblood
7,"l1-2018-trim-001
woven label",please source,front right hem,1,woven label,woven label
8,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",please source,front left sleeve hem,1,match to shell,match to shell
9,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,back right,1,match to shell,match to shell
10,trims,supplier/ reference number,location,amount,gunmetal / bombay,black / oxblood
11,metal eyelets 8mm,luk's / et04,hem cord exit,2 per side = 4,al023 alloy (d),al023 alloy (d)
12,cord lock,sunsun/ sv160819-4a,hem adjust exposed at lining,1 per side = 2,black,black
13,bead,sunsun/ sv160725-1a,hem adjust,1 per side = 2,black,black
14,notions,supplier/ reference number,location,amount,gunmetal / bombay,black / oxblood
15,binding,chun wo ho/ cw17-251 or please source,sleeve hems,1 per side = 2,black,black
16,"grosgrain 3/8""",please source,attach hem cord locks,1 per side = 2,black,black
17,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw17-062
chun wo ho (please source)",hem,1,"colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal"
18,velcro,supplier/ reference number,location,amount,gunmetal / bombay,black / oxblood
19,thread,spi,supplier/ ref number,amount,gunmetal / bombay,black / oxblood
20,seams,10-12 spi,Feb-30,none,match to shell,match to shell
21,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell
22,bartacks,none,100/2,none,match to shell,match to shell
23,labels ,supplier/ reference number,location,amount,gunmetal / bombay,black / oxblood
24,dwr,soluna/ main label,center back below neck seam,1,dwr,dwr
25,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl"
26,hang tags,supplier/ reference number,location,amount,gunmetal / bombay,black / oxblood
27,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag
28,care and content labels,supplier/ reference number,location,amount,gunmetal / bombay,black / oxblood
29,address label,factory sourced,lining left side seam,1,address label,address label
30,content label,factory sourced,lining left side seam,1,content label,content label
31,washing label,factory sourced,lining left side seam,1,washing label,washing label
