,0,1,2,3,4,5,6,7,8,9
0,l1 mens jacket,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-111-18,none,none,date created:,none,2017-02-22 00:00:00,none,none
3,style name:,none,stooge,none,none,date revised:,none,2017-04-06 00:00:00,none,none
4,waterproof/breathability:,none,5k/5k,none,none,block:,none,l1-111-17_stooge_bulk,none,none
5,seam sealing:,none,not seam sealed,none,none,fit:,none,street,none,none
6,insulation:,none,none,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
9, #5 coil zipper,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,none,none,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,none,none,none,none
12,additional zipper pulls,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
13,"""l1-2018-trim-017
l1 zipper pull",ykk,center front,1,x6 black oxides ,x6 black oxides ,none,none,none,none
14, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell,none,none,none,none
16,branded trims,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
17,"l1-2018-trim-011
half deboss snap",luks,center front placket,5,al023 alloy (d),al023 alloy (d),none,none,none,none
18,"l1-2018-trim-002
black leather patch",please source,front right hem,1,black faux leather,black faux leather,none,none,none,none
19,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",please source,left sleeve hem,1,match to shell,match to shell,none,none,none,none
21,screen prints,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
22,screen print - quality as on sample of black jacket pamela has for collar reference,xxx,left chest,1,"2 color: pantone black, pantone 18-0950 tpx harvest","2 color: pantone black, pantone 18-0950 tpx harvest",none,none,none,none
23,screen print - quality as on sample of black jacket pamela has for collar reference,xxx,back,1,"2 color: pantone black, pantone 18-0950 tpx harvest","2 color: pantone black, pantone 18-0950 tpx harvest",none,none,none,none
27,trims,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
28,15mm metal snap,luk's / 404,hand pocket welts,1 per side = 2,al023 alloy (d),al023 alloy (d),none,none,none,none
29,metal eyelets 11mm,luk's / et89,hem cord exit,1 per side = 2,al023 alloy (d),al023 alloy (d),none,none,none,none
31,notions,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
32,8mm round drawcord,xxx,hem,1 (see measurements page for length),black,black,none,none,none,none
33,"1"" flat elastic",xxx,sleeve hems,1 per side = 2,available,available,none,none,none,none
35,velcro,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
38,thread,spi,supplier/ ref number,amount,vintage camo broken twill,black,0,0,0,0
39,seams,10-12 spi,30/2,none,match to shell,match to shell,none,none,none,none
40,topstitch,8-10 spi,30/2,none,match to shell,match to shell,none,none,none,none
41,bartacks,none,100/2,none,match to shell,match to shell,none,none,none,none
43,labels ,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
44,dwr,soluna/ main label,center back below neck seam,1,dwr,dwr,none,none,none,none
45,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl",none,none,none,none
47,hang tags,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
48,mens jacket hang tag,soluna/ mens jacket hang tag,center back locker loop,1,mens jacket hang tag,mens jacket hang tag,none,none,none,none
51,care and content labels,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
52,address label,factory sourced,lining left side seam,1,address label,address label,none,none,none,none
53,content label,factory sourced,lining left side seam,1,content label,content label,none,none,none,none
54,washing label,factory sourced,lining left side seam,1,washing label,washing label,none,none,none,none
