,0,1,2,3,4,5,6,7,8,9
0,l1 mens pant,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-202-18 ,none,none,date created:,none,2017-03-14 00:00:00,none,none
3,style name:,none,overall,none,none,date revised:,none,2017-04-04 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1-202-16 overall paper pattern,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,regular fit,none,none
6,insulation:,none,shell,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
9, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
10, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hand pockets,1 per side = 2,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
11, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,back right pocket,1,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
12, #5 coil zipper,non ykk / 2-way non locking / dadhr diecast wire (zip down to close),balls out venting,1,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
13, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
15,additional zipper pulls,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
16, 11nt-045 / self fabric pull ,factory made,hand pocket zippers,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
17, 11nt-045 / self fabric pull ,factory made,back right pocket,1,match to shell,match to shell,match to shell,match to shell,match to shell,none
18, 11nt-045 / self fabric pull ,factory made,balls out venting,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
19, 11nt-045 / self fabric pull ,factory made,hem gusset ,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
21,branded trims,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
22,"l1-2018-trim-021
l1 donut post shank",luks,"front strap closure (2), side entry closure (2 per side 4)",6,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
23,"l1-2018-trim-008
new standard snap ",luks,"chest pocket (2), leg pocket (1)",3,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
24,"l1-2018-trim-019 / 
l1 10mm denim rivet",luks,"hand pocket edges (4), back left pocket edges (2)",6,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
25,"l1-2018-trim-027
l1 faux leather patch",please source,chest pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
26,"l1-2018-trim-006
large brown leather hem wrap / artwork debossed 1mm",please source,back left pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
27,"l1-2018-trim-023 / 
l1 faux leather denim patch",please source,back right waist band,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
28,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,front left hem,1,matching,matching,matching,matching,black,none
30,trims,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
31,15mm metal snap,luk's / 404,"""finger snap hem adjust"" back gaiter/ pant hem",1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
32,boot hook,xxx,front gaiter,1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
33,keyclip,xxx,right leg pocket,1,black,black,black,black,black,none
34,metal clip and strap adjust,xxx,front of shoulder straps,1 set per side = 2 sets,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
36,notions,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
37,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
38,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
39,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,black,none
40,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,black,black,black,black,none
41,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black,black,none
42,38mm flat elastic,chun wo ho (please look at photo in pdf and source similar elastic.,front shoulder straps,1 per side = 2,black,black,black,black,black,none
44,velcro,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
45," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",chest pocket (hidden),1,match to shell,match to shell,match to shell,match to shell,match to shell,none
46," 1/2""x1 velcro with rounded corners",xxx,back left pocket (hidden),xxx,match to shell,match to shell,match to shell,match to shell,match to shell,none
47," 1/2"" x full length velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",right leg pocket (upper),1,match to shell,match to shell,match to shell,match to shell,match to shell,none
48," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",right leg pocket (lower),2,match to shell,match to shell,match to shell,match to shell,match to shell,none
50,thread,spi,supplier/ ref number,amount,black,ink,bone,soil,vintage camo broken twill,0
51,seams,10-12 spi,30/2,regular thread,matching,matching,matching,matching,matching,none
52,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,matching,none
53,bartacks,none,100/2,regular thread,matching,matching,matching,matching,matching,none
