,position,ref num,location,amount,silt,port,walnut,black,0,0
8, #5 vislon zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
9, #5 coil zipper (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: 16-5807 tcx silt,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: 19-1718 tcx port,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: 18-0513 tcx walnut,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
12, #5 coil zipper,non ykk / 1-way 5c dfw short non locking,lining pocket vertical,1,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
13,additional zipper pulls,supplier/ reference number,location,amount,silt,port,walnut,black,0,0
14,"l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",ykk,center front,top and bottom pull = 2,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,none,none
15,l1-2018-trim-018 / non branded zipper pull faux leather ,please source: same supplier as other faux leather trims,chest pocket vertical,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
16,11nt-045 / self fabric pull,factory made,under arm vents,1 per side = 2,silt shell fabric,port shell fabric,walnut shell fabric,black shell fabric,none,none
