,position,ref num,location,amount,military,walnut,port,black,0,0
8, #5 metal zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 18-0513 tcx walnut,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-1718 tcx port,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black,none,none
9, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 18-0513 tcx walnut,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-1718 tcx port,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
12, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
13, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking (bottom is open top is closed),back hem,1,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
14,additional zipper pulls,supplier/ reference number,location,amount,military,walnut,port,black,0,0
15,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",ykk,center front,top and bottom pull = 2,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,none,none
16,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,chest pocket vertical,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
17,11nt-045 / self fabric pull,factory made,underarm vents,1 per side = 2,military shell fabric,walnut shell fabric,port shell fabric,black shell fabric,none,none
18,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,hand pockets vertical,1 per side = 2,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
19,11nt-045 / self fabric pull,factory made,lining pocket vertical,1,military shell fabric,walnut shell fabric,port shell fabric,black shell fabric,none,none
20,branded trims,supplier/ reference number,location,amount,military,walnut,port,black,0,0
21,"l1-2018-trim-006 / large brown  faux leather hem wrap
artwork debossed 1mm 3.8 cm x 2 cm",please source,left chest pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
22,"l1-2018-trim-003 / faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",please source,left hand pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
23,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,matching,matching,matching,matching,none,none
24,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,matching,matching,matching,matching,none,none
25,trims,supplier/ reference number,location,amount,military,walnut,port,black,0,0
26,15mm metal snap,luk's / 404,sleeve hems,2 male 1 female,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper ,none,none
27,15mm metal snap,luk's / 404,front placket hidden at chin and hem ,2 sets,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper ,none,none
