,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7
1,"20k/20k 3layer
printable tricot on inside
",lucky / 20k/20k ltc32509-r5-h474 3l /  c6 dwr 80/10,a,100% polyester,black,silt,walnut,dusty green
2,insulation,supplier/ reference number,location ,content,black,silt,walnut,dusty green
3,non insulated,none,none,none,none,none,none,none
4,seam tape,supplier/ reference number,location ,content,black,silt,walnut,dusty green
5,seam tape (possibly printed),lucky / 15mm ltc32509-r5-h474 3l - seam tape ,fully seam sealed,100% polyester,fully seam sealed,fully seam sealed,fully seam sealed,fully seam sealed
6,lining,supplier/ reference number,location ,content,black,silt,walnut,dusty green
7,none,3 layer not lined,chest pocket bags,none,none,none,none,none
8,solid coated 210t,solis / sonp006-pu03,powder skirt,100% polyester,black,black,black,black
9,brushed tricot,3 layer not lined, hand pocket bags,none,none,none,none,none
10,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
11,"20k/20k 3layer
printabel at inside, waiting for price with print

",lucky / ltc32509-r5-h474 3l ,media pocket,none,black,silt,walnut,dusty green
12,power stretch mesh ,supplier / ref code,"underarm vents, breathing vents",100% polyester,black,black,black,black
13,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
14,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black
