,description,item,ref,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,all shell is same fabric,oxford 10k/10k coating + c6 dwr 80/10 $4.00,solis oxford l2-581,100% poly,black,none,none,none,none,none
2,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
3,non insulated,none,none,none,no,none,none,none,none,none
4,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
5,fully taped,width...seam tape,sealon,none,fully,none,none,none,none,none
6,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
7,body,solid 210t,please sorce,100% nylon,black,none,none,none,none,none
8,lower leg & gaiter,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
9,waistband & fly,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
10,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
11,"""balls out"" venting",mesh,please sorce,100% poly,black,none,none,none,none,none
