,description,ref,location,content,colorway/4,colorway/5,colorway/6
1,oxford,"solis/  oxford l2-581 ,10k/10k, c6 +dwr",a,none,black,military,x
2,broken twill,"solis/  wl248 broken twill, 10k/10k, c6 +dwr",a,none,x,x,vintage camo broken twill
3,ribbing,leader collar / as last production,"collar, sleeve hem",none,black,military,black
4,insulation,supplier/ reference number,location ,content,black,military,vintage camo broken twill
5,polyfill,pinneco mantle,upper body,100% polyester,60g,60g,60g
6,polyfill,pinneco mantle,sleeves,100% polyester,60g,60g,60g
7,polyfill,pinneco mantle,seat,100% polyester,40g,40g,40g
8,polyfill,pinneco mantle,knees (front),100% polyester,40g,40g,40g
9,seam tape,supplier/ reference number,location ,content,black,military,vintage camo broken twill
10,seam tape,tsgs,critically taped,none,critically taped,critically taped,critically taped
11,lining,supplier/ reference number,location ,content,black,military,vintage camo broken twill
12,solid quilted satin,solis/ pr258,upper body,100% polyester,18-1250 tcx bombay,18-1250 tcx bombay,18-1250 tcx bombay
13,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,18-1250 tcx bombay,18-1250 tcx bombay,18-1250 tcx bombay
14,solid 210t ,solis/ sonp006-1 ,pants,100% nylon,18-1250 tcx bombay,18-1250 tcx bombay,18-1250 tcx bombay
15,solid 210t ,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black
16,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black
17,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black
18,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black
19,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black
20,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,military,vintage camo broken twill
21,on coated 210t,please source ,lower leg front and back,none,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt 
