,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
12,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
14,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
16,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,solid 210t ,solis / sonp006-1,hood,100% nylon,color,none,none,none,none,none
18,solid 210t ,solis / sonp006-1,main body,100% nylon,color,none,none,none,none,none
19,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,none,none,none,none,none
20,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,none,none,none,none,none
21,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% polyester,color,none,none,none,none,none
22,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,none,none,none,none,none
23,brushed tricot,supplier / ref code,chin guard,100% polyester,color,none,none,none,none,none
24,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,color,none,none,none,none,none
25,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,color,none,none,none,none,none
26,lycra,supplier / ref code,sleeve gaiters,content,color,none,none,none,none,none
