,0,1,2,3,4,5,6,7,8,9,10
0,airblaster,none,none,none,none,style number: ab18mj1_075,none,none,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none,none,none
2,none,none,none,none,none,season: winter 2017/18,none,none,none,none,none
3,none,none,insulation:,60gm insulation at main body hood sleeves,none,collection: glacier series,none,none,none,none,none
4,style name:,none,seams:,critically seam sealed,none,vendor: ,none,none,none,none,none
5,posh parka,none,mm rating:,none,none,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none,none,none
8,none,updated: 3.15.16,none,none,none,color #1,color #2,color #3,color #4,color #5,color #6
9,none,material/trim,description,location,qty,tbd,tbd,tbd,tbd,tbd,tbd
10,none,none,none,none,fabrics & linings,none,none,none,none,none,none
11,a,shell fabric,sond035-2l1-h 100%nylon 10k/8k dwr+breathable coating (supplied by li peng),"main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",none,tbd,tbd,tbd,n/a,n/a,n/a
12,b,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),"main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",none,n/a,n/a,n/a,tbd,tbd,tbd
13,c,lining,210 t taffeta (supplied by li peng),"powder skirt, pocket bag",none,tbd,tbd,tbd,tbd,tbd,tbd
14,d,other , velvety tricot - item# bb47-6b,"inside lining, comfort chin guard, inner front pocket bag panel",none,tbd,tbd,tbd,tbd,tbd,tbd
15,e,other,100% poly mesh - item# cb-46-2b,"vents, large internal goggle pocket",none,tbd,tbd,tbd,tbd,tbd,tbd
16,f,other,nylon/elastic lycra - item# dc-9a,"powder skirt, hood drawcord tunnel",none,tbd,tbd,tbd,tbd,tbd,tbd
17,g,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,black,black
18,h,other,gripper elastic,powder skirt,none,black,black,black,black,black,black
19,i,other,clear pvc,pass pocket window opening at outside of powder skirt,none,clear,clear,clear,clear,clear,clear
20,j,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,none,black,black,black,black,black,black
21,k,insulation,60gm insulation,"main body, hood, sleeves",none,white,white,white,white,white,white
22,l,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,white,white
23,m,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,white,white
24,s,none,none,none,none,none,none,none,none,none,none
25,none,none,none,none,zippers,none,none,none,none,none,none
26,aa,zipper,"ykk no.5 metalux vislon zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",(1)c.f.,1,tbd,tbd,tbd,tbd,tbd,tbd
27,bb,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes down), (2) hand pockets,2,tbd,tbd,tbd,tbd,tbd,tbd
28,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", (2)vents,2,tbd,tbd,tbd,tbd,tbd,tbd
29,dd,zipper,"ykk no.5 nylon coil, hidden chain zipper, auto-lock slider da8lh",removable powder skirt,1,tbd,tbd,tbd,tbd,tbd,tbd
30,ee,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket ,1,tbd,tbd,tbd,tbd,tbd,tbd
31,ff,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents, (1)napoleon pocket",6,tbd,tbd,tbd,tbd,tbd,tbd
33,none,none,none,none,trims,none,none,none,none,none,none
34,gg,velcro,hook and loop; l: 2.5cm x h: 1cm,(4)pocket flaps,4,tbd,tbd,tbd,tbd,tbd,tbd
35,hh,velcro,hook and loop,pass pocket at powder skirt,1,tbd,tbd,tbd,tbd,tbd,tbd
36,ii,hand pulls,round barrel stopper - k-018 , (2) hood,2,tbd,tbd,tbd,tbd,tbd,tbd
37,jj,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,black,black
38,kk,webbing,flat webbing tape 2cm width,pass pocket pull tab,1,black,black,black,black,black,black
39,ll,hardware,"metal eyelets, 12mm  (incl. washers)",(4) at hood opening,4,tbd,tbd,tbd,tbd,tbd,tbd
40,mm,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(6) storm flap (1) snap tabs at inside bottom hem,  (2) at powder skirt",9,tbd,tbd,tbd,tbd,tbd,tbd
41,nn,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)",(2) powder skirt,2,tbd,tbd,tbd,tbd,tbd,tbd
42,oo,hardware,sewing buttons 17mm  ,"(1) storm flap,(2)pocket flaps,(4) cuffs, (2) plastic bag attached to w/c label  ",9,tbd,tbd,tbd,tbd,tbd,tbd
43,pp, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,tbd,tbd,tbd,tbd,tbd,tbd
44,qq,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,black,black
45,rr,plastic bag,small plasitc bag,sewn to w/c label,1,clear,clear,clear,clear,clear,clear
46,ss,main label,tbd,"inside c.b. neck, see q/a for details",1,tbd,tbd,tbd,tbd,tbd,tbd
47,tt,size label,tbd,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,tbd,tbd
48,uu,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black,black
49,vv,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd,tbd,tbd
50,ww,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd
52,none,none,none,none,hangtags/packaging,none,none,none,none,none,none
53,xx,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd
54,yy,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd
55,zz,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear,clear
56,aaa,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd,tbd
57,bbb,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd,tbd
59,special instructions:,none,none,none,none,none,none,none,none,none,none
60,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none,none,none
61,2,stitches per inch:,8-10,none,none,none,none,none,none,none,none
62,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none,none,none
63,4,bartack:,at stress points,none,none,none,none,none,none,none,none
64,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none,none,none
65,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none,none,none
66,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none,none,none
