,0,1,2,3,4,5,6,7,8,9
0,nitro mens pant,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,n18-201,none,none,date created:,none,2017-03-24 00:00:00,none,none
3,style name:,none,kitami bib 3l,none,none,date revised:,none,2017-03-29 00:00:00,none,none
4,waterproof/breathability:,none,20k/25k,none,none,block:,none,based on n17-201 yamanouchi bib fit,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,regular fit,none,none
6,insulation:,none,not insulated,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
10,none,"hyperbola / sc670-6 3l
micro-rip, w/printed tricot",s,none,color,none,none,none,none,none
11,none,"hyperbola /  d3357-2
*stretch panel",c1,none,color,none,none,none,none,none
13,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
14,non insulated,none,none,none,none,none,none,none,none,none
16,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,fully seam sealed,tsgs,fully seam sealed,none,fully seam sealed,none,none,none,none,none
19,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
20,note this is a 3l garment so the main body should not be lined,none,main body,none,none,none,none,none,none,none
21,solid coated 210t,supplier / ref code,gaiter,none,color,none,none,none,none,none
