,0,1,2,3,4,5,6,7,8,9
0,nitro womens jacket,none,none,none,none,none,none,sample size small / xs-l,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,w18-102,none,none,date created:,none,2017-03-22 00:00:00,none,none
3,style name:,none,fjallkona,none,none,date revised:,none,none,none,none
4,waterproof/breathability:,none,15k/15k,none,none,block:,none,0,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,regular,none,none
6,insulation:,none,40g polyfill with sherpa back,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
10,none,wide + / wnp122-bj4sr4 *2l,"""s""",none,color,none,none,none,none,none
11,none,licky / c3170045-x *2l,"""c1""",none,color,none,none,none,none,none
13,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
14,polyfill,pinneco mantle,all over,100% polyester,40g,none,none,none,none,none
16,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,seam tape,tsgs,fully taped,none,fully taped,none,none,none,none,none
19,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
20,solid 210t ,solis / sonp006-1,hood,100% nylon,color,none,none,none,none,none
21,solid 210t ,solis / sonp006-1,main body,100% nylon,color,none,none,none,none,none
22,sherpa (faux fur),please source,center back panel,100% polyester,none,none,none,none,none,none
23,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,none,none,none,none,none
24,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,none,none,none,none,none
25,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% polyester,color,none,none,none,none,none
26,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,none,none,none,none,none
27,brushed tricot,supplier / ref code,chin guard,100% polyester,color,none,none,none,none,none
28,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,color,none,none,none,none,none
29,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,color,none,none,none,none,none
30,lycra,supplier / ref code,sleeve gaiters,content,color,none,none,none,none,none
