,position,item,slider ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
8,hand pockets,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: psudo anti silver/ tape color: black,none,none,none,none,none
9,leg zip,#5 metal,non ykk dadhr diecast wire // 1-way locking,1,silder/pull color: psudo anti silver/ tape color: dtm shell,none,none,none,none,none
10,leg vents,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: psudo anti silver/ tape color: black,none,none,none,none,none
11,hem,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: psudo anti silver/ tape color: black,none,none,none,none,none
12,zipper pulls,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
13,hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
14,leg venting, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
15,l1 branded trims,item,slider ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
16,cf wiast band closure,l1 shank,l1-2016-trim-006,1,matte black,none,none,none,none,none
17,back left knee,small faux suede patch,l1-2017-trim-106,3,black,none,none,none,none,none
18,front left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,none,none,none,none,none
19,snaps,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
22,other trims,item,slider ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
23,right hand pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
24,front of leg gaiter,metal boot hook,supplier / ref number,1 per side = 2,black,none,none,none,none,none
25,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
29,velcro,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
30,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
31,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),# 604 tseu,regular thread,matching,we have had ripping problems in the past,none,none,none,none
32,seams,8-10 spi,# 604 tseu,regular thread,matching,none,none,none,none,none
33,denim weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,matching,none,none,none,none,none
35,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
36,front left belt loop,l1 pant hang tag,supplier //,1,l1 pant hang tag,none,none,none,none,none
37,front left belt loop behind main hang tag,denim warning hang tag,supplier // ,1,denim warning hang tag,none,none,none,none,none
38,front left belt loop behind denim dye warning hang tag,l1 pant fit hang tag ,supplier // boyfriend fit,1,supplier // boyfriend fit,none,none,none,none,none
39,center back waist band facing,l1 wmns pant size label,l1 wmns pant size label,1,l1 wmns pant size label,none,none,none,none,none
40,lining front right,l1 wmns main label,boyfriend fit // 10k/10k // fully taped,1,boyfriend fit // 10k/10k // fully taped,none,none,none,none,none
41,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
42,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
43,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
44,front left belt loop to attach hang tags,clear zip tie,supplier //,1,clear zip tie,none,none,none,none,none
