,position,ref num,location,amount,ink,bone,black,walnut,0,0
8, #3 coil zipper,non ykk / 1-way dadr fashion drop non locking,back right pocket horizontal ,1,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,none,none
9, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,leg vent ,1 per side = 2,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hem gusset ,1 per side = 2,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,silder/ pull color: match color to ykk x antique copper/ zipper tape color: black,none,none
11,additional zipper pulls,supplier/ reference number,location,amount,ink,bone,black,walnut,0,0
12, 11nt-045 / self fabric pull ,factory made,leg vent zippers,1 per side = 2,ink shell fabric,bone shell fabric,black shell fabric,walnut shell fabric,none,none
13,branded trims,supplier/ reference number,location,amount,ink,bone,black,walnut,0,0
14,"l1-2018-trim-021
l1 donut post shank
dull oxidized copper",luks,side entry,4,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
15,"l1-2018-trim-021
l1 donut post shank
dull oxidized copper",luks,bib closure,2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
16,"l1-2018-trim-021
l1 donut post shank
dull oxidized copper",luks,chest pocket,1,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
17,"l1-2018-trim-019
l1 10mm denim rivet
dull oxidized copper doxcp",luks,front hand pocket edges,4,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
18,"l1-2018-trim-027
l1 faux leather patch
brown ",please source,chest pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
19,"l1-2018-trim-026
l1 faux leather patch with deboss
5.1 cm x 1.3 cm 
brown",please source,back left knee,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
20,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell,none,none
21,trims,supplier/ reference number,location,amount,ink,bone,black,walnut,0,0
22,strap closure and adjust metal hardwear,please source,front gaiter,1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
23,15mm metal snap,luk's / 404,finger snap hem adjust,1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
24,boot hook,none,front gaiter,1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
25,keyclip,as last year production,right hand pocket,1 per side = 2,black,black,black,black,none,none
26,notions,supplier/ reference number,location,amount,ink,bone,black,walnut,0,0
27,"grosgrain 1/4""",none,right hand pocket attach keyclip,1,black,black,black,black,none,none
28,"shell tab 1""",soluna,under leg snaps,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
29,"shell tab 1""",soluna,under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
30,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black,none,none
31,velcro,supplier/ reference number,location,amount,ink,bone,black,walnut,0,0
32,thread,spi,supplier/ ref number,amount,ink,bone,black,walnut,0,0
33,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),none,regular thread,match to shell,match to shell,match to shell,match to shell,none,none
34,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
35,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,none,none
36,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,none,none
37,labels ,supplier/ reference number,location,amount,ink,bone,black,walnut,0,0
38,10k/10k fully seam sealed,soluna/ main label,front left leg,1,10k/10k fully seam sealed,none,none,none,none,none
39,size label (sample size s),soluna/ size label,center back waist band,1,"xs, s, m, l",none,none,none,none,none
40,hang tags,supplier/ reference number,location,amount,ink,bone,black,walnut,0,0
41,womens pant hang tag,soluna/ womens pant hang tag,left side belt loop,1,womens pant hang tag,none,none,none,none,none
43,care and content labels,supplier/ reference number,location,amount,ink,bone,black,walnut,0,0
44,address label,factory sourced,lining left side seam,1,address label,none,none,none,none,none
45,content label,factory sourced,lining left side seam,1,content label,none,none,none,none,none
46,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none,none
