,position,item,ref num,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
8,center front,#5 metal,ykk za snap on // 1-way seperating auto lock ,1,psudo anti silver slider and teeth / black tape,none,none,none,none,none
9,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,psudo anti silver slider and teeth / black tape,none,none,none,none,none
10,zipper pulls,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
11,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,1,psudo anti silver ,none,none,none,none,none
12,l1 branded trims,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
13,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,none,none,none,none,none
14,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,none,none,none,none,none
15,hand and chest pockets,l1 snap,luks / l1-2016-trim-001,3,psudo anti silver ,none,none,none,none,none
16,chest pocket bag,new patch,luks / new,1,black ,none,none,none,none,none
17,snaps,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
18,cf powder skirt closure,24l metal snap,please sorce,"4 male, 2 female",psudo anti silver / black cap,none,none,none,none,none
19,pow skirt: jacket to pant connection on powderskirt hem,24l metal snap,please sorce,3 female,psudo anti silver / black cap,none,none,none,none,none
20,cord locks,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
21,hem cord locks,cord lock,knk / sp-177,1 per side = 2,matte black,none,none,none,none,none
22,hem cord tips,cord tip,knk / cs-074,1 per side = 2,matte black,none,none,none,none,none
23,grommets,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
24,hood cord exit,grommet 11.5 mm (large),please sorce,1 per side = 2,psudo anti silver ,none,none,none,none,none
25,hem adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,psudo anti silver ,none,none,none,none,none
26,shockcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
28,drawcord,item,supplier/ ref number,amount,0,0,0,0,0,0
30,webbing ,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
31,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,none,none,none,none,none
32,hem cord lock tie down,"1/4"" flat webbing loop",suppler / ref nuber,1 per side = 2,black,none,none,none,none,none
33,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,none,none,none,none,none
34,elastic,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
35,encased in powder skirt,25mm,suppler / ref nuber,1,stock,none,none,none,none,none
36,encased in back of sleeve hem,25mm,suppler / ref nuber,1 per side = 2,stock,none,none,none,none,none
37,goggle pocket,elastine binding,suppler / ref nuber,1,black,none,none,none,none,none
38,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,1,black,none,none,none,none,none
39,velcro,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
40,cuff ,2.5cm x 9cm,paiho / loop#1057,1 loop tab,matching,none,none,none,none,none
41,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,1 hook tab,matching,none,none,none,none,none
42,thread,spi,ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
47,marketing,description,ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
50,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
51,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
52,lining left side seam,washing label,sew as loop,1,washing label,none,none,none,none,none
53,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
